ID;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13;x14;x15;x16;x17;x18;x19;x20
1;2;0;0;0;1;10;4;7;6;5;5;7;7;5;4;5;5;8;8;10
2;3;0;0;0;1;10;3;7;7;3;8;8;5;6;4;4;4;8;9;10
3;3;0;1;0;1;9;3;6;6;5;7;8;5;6;2;5;4;8;9;8
4;1;1;1;1;0;7;3;4;4;5;5;5;9;7;5;4;4;1;4;4
5;2;0;0;0;1;9;3;6;5;2;6;7;7;6;2;5;4;8;10;7
6;1;0;1;1;1;8;3;2;4;4;4;5;9;5;10;4;5;2;5;5
7;2;0;1;1;0;6;3;2;5;5;4;4;7;5;5;4;6;1;3;5
8;2;1;1;1;1;5;4;8;7;4;6;9;9;6;8;4;6;9;5;5
9;1;0;0;0;1;3;5;8;6;5;6;8;8;5;7;4;6;9;6;6
10;2;0;1;1;1;8;3;1;5;3;7;6;7;6;9;4;4;2;7;6
11;1;1;1;1;0;7;5;3;4;4;4;4;8;6;4;3;5;1;3;4
12;1;1;0;0;1;10;6;6;7;5;7;6;8;7;3;5;5;8;10;8
13;3;0;0;0;1;9;4;6;6;2;8;6;7;7;3;5;3;9;8;10
14;2;0;1;1;1;4;5;9;7;5;7;9;9;6;7;5;6;8;5;5
15;3;0;0;0;1;9;3;7;7;3;8;7;5;6;2;4;4;9;9;9
16;2;1;0;0;1;2;4;8;6;3;6;9;6;7;7;4;6;9;4;5
17;2;0;0;1;1;5;4;7;7;4;6;9;8;6;8;6;6;8;5;5
18;2;1;1;0;1;2;3;8;6;4;6;8;9;5;7;5;6;9;5;4
19;2;0;0;1;0;9;5;1;6;5;5;5;8;6;9;5;6;2;7;5
20;1;1;0;1;0;9;4;4;5;4;4;1;8;7;5;3;5;4;5;4
21;3;0;1;0;1;10;6;7;6;5;8;8;5;6;2;4;3;8;10;10
22;2;0;0;0;1;9;4;7;5;4;7;8;4;7;3;5;3;10;9;9
23;3;0;1;0;1;10;2;8;7;2;7;6;6;6;3;7;4;10;9;9
24;1;0;0;1;0;6;4;2;5;4;5;3;8;7;6;5;5;2;2;5
25;2;0;1;1;0;8;4;2;6;4;4;3;7;6;5;6;7;1;4;3
26;3;0;0;0;0;10;3;7;6;4;8;5;5;7;5;5;4;10;8;9
27;1;0;0;1;1;9;3;1;6;3;5;6;9;7;10;4;5;3;5;5
28;3;0;0;0;1;9;3;6;6;2;8;7;5;6;2;6;4;8;8;9
29;2;0;1;1;1;8;4;2;4;5;4;5;8;5;10;5;6;2;5;6
30;1;1;1;1;0;8;3;1;5;2;5;2;7;7;4;3;4;1;3;2
31;1;1;1;1;0;7;4;1;5;5;5;1;9;6;5;4;5;1;2;4
32;2;0;1;1;1;8;3;8;6;6;5;7;9;6;4;5;7;9;7;8
33;1;0;0;1;1;3;4;8;4;3;5;9;8;6;8;3;4;8;4;5
34;1;0;0;0;1;9;3;8;4;4;6;8;6;6;5;3;3;7;9;10
35;2;0;0;0;1;9;3;6;5;4;6;5;7;6;3;4;4;8;9;8
36;3;0;1;0;1;10;4;6;7;3;8;6;8;6;3;5;5;8;9;10
37;1;0;1;1;0;8;4;1;6;6;5;5;9;5;9;5;7;1;7;7
38;1;0;1;1;1;6;5;4;5;5;4;6;8;5;7;5;5;4;6;6
39;2;1;1;1;0;8;3;3;6;3;5;3;9;4;6;5;6;1;2;4
40;2;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
41;3;0;1;0;1;10;5;8;7;6;7;7;7;5;3;5;5;9;9;8
42;2;1;0;0;0;2;5;7;7;4;5;10;6;7;7;5;6;9;5;4
43;3;1;0;0;0;8;3;8;7;4;8;7;5;5;4;4;4;10;8;9
44;2;0;1;1;1;3;4;9;6;6;6;8;8;6;8;5;6;8;7;6
45;3;0;0;0;1;10;4;7;6;3;5;7;4;7;4;5;4;10;10;9
46;2;1;0;0;1;4;4;8;8;6;6;9;8;7;7;7;7;9;6;5
47;3;0;0;1;1;10;4;1;6;4;7;5;7;6;10;5;3;1;8;7
48;3;0;0;0;1;8;4;6;6;4;7;8;5;5;3;4;4;8;10;8
49;1;0;1;1;0;7;4;4;4;3;5;3;7;6;6;4;4;1;2;4
50;3;0;0;0;0;9;3;6;7;3;8;8;5;5;5;5;4;9;8;7
51;3;0;0;1;1;9;3;1;6;3;7;6;6;6;10;5;5;2;7;6
52;1;1;1;0;1;7;3;3;4;3;6;3;5;6;4;3;3;1;3;2
53;2;0;0;1;1;9;3;6;6;3;5;7;9;5;3;5;7;9;8;8
54;3;0;0;0;1;9;4;7;6;4;6;5;7;7;2;4;3;9;8;8
55;2;0;0;1;1;4;5;10;8;5;7;9;10;6;9;6;7;9;6;5
56;3;0;0;0;1;8;4;8;6;6;7;4;4;7;3;5;4;7;10;8
57;3;0;0;0;1;10;4;8;4;4;5;6;4;7;2;4;4;8;9;8
58;3;0;0;1;1;10;3;7;7;3;6;8;5;6;3;6;5;9;10;9
59;3;0;0;0;0;9;3;8;6;3;8;7;5;7;4;5;4;7;9;7
60;2;0;1;0;1;10;4;7;5;5;5;7;7;5;3;3;5;8;10;8
61;1;0;0;1;1;10;4;1;5;4;5;5;6;5;9;4;4;3;6;6
62;1;0;1;1;0;8;2;3;5;2;5;2;6;6;5;3;3;2;3;6
63;1;1;1;1;0;7;4;3;4;5;5;3;7;7;6;4;4;1;3;3
64;2;1;1;0;1;3;4;10;7;5;6;9;8;5;8;5;7;10;7;4
65;2;1;0;1;0;2;4;8;6;3;6;9;6;8;7;5;6;9;6;5
66;1;1;1;1;0;9;4;2;4;3;4;4;8;5;5;4;5;1;5;3
67;2;0;1;1;1;7;4;5;5;4;4;6;7;5;9;5;7;2;7;5
68;3;0;0;0;0;9;5;6;6;6;5;4;8;7;4;5;6;9;8;8
69;1;1;0;0;1;8;3;3;4;5;6;2;5;5;6;3;3;2;3;3
70;2;0;1;1;0;9;4;1;7;7;6;5;9;5;8;5;6;2;8;4
71;3;0;0;0;1;10;4;8;5;6;7;8;7;7;5;4;3;9;9;9
72;2;0;1;0;1;9;4;6;6;5;5;7;7;6;4;4;5;9;10;8
73;3;0;0;0;1;10;3;7;5;5;6;5;5;7;3;3;4;9;10;8
74;1;0;0;0;1;8;4;8;5;5;5;7;7;8;4;5;6;10;10;9
75;2;1;0;0;1;10;4;7;6;5;7;6;9;7;5;4;5;8;8;9
76;3;0;0;0;1;9;4;6;8;6;8;6;5;7;4;5;4;6;9;10
77;1;1;1;1;0;8;3;1;4;4;5;3;8;6;5;3;3;1;2;2
78;3;0;0;0;0;10;3;7;5;4;6;6;5;6;3;3;4;7;10;10
79;3;0;0;0;1;9;3;6;5;2;7;8;7;6;2;4;4;8;10;10
80;2;0;0;0;1;9;3;2;4;3;6;5;6;6;4;3;3;1;1;3
81;1;1;0;1;0;6;3;1;4;2;3;4;8;7;6;2;4;1;1;2
82;2;0;0;0;1;9;3;7;7;2;7;8;6;7;4;5;4;7;10;8
83;1;1;1;1;0;8;4;1;5;4;4;4;8;5;5;3;5;1;4;5
84;1;0;1;1;1;8;4;2;3;4;4;6;8;4;9;2;5;2;5;5
85;2;0;0;0;1;9;3;8;7;4;7;7;6;7;3;5;4;8;8;8
86;2;1;0;0;1;10;4;6;5;4;6;8;8;7;4;5;4;8;8;9
87;2;1;0;0;1;1;6;9;7;6;6;9;6;7;8;6;7;10;6;4
88;3;0;0;0;1;10;4;7;4;4;6;6;7;8;5;4;3;9;10;8
89;1;1;0;1;0;7;4;2;3;2;3;3;10;6;3;2;4;1;4;4
90;3;0;1;1;1;8;4;1;5;4;8;5;7;6;9;4;3;1;7;4
91;3;0;1;1;1;10;4;6;8;5;8;7;5;6;5;5;4;8;10;8
92;3;1;1;0;1;9;4;7;5;5;6;8;7;5;5;4;3;7;8;7
93;1;0;0;0;1;9;5;6;5;2;6;8;7;6;4;5;4;7;10;9
94;1;0;1;1;0;9;3;2;5;4;4;5;7;5;10;4;6;2;6;3
95;1;0;0;0;1;9;3;1;3;3;6;2;6;5;4;3;3;1;3;3
96;2;1;0;0;1;2;5;9;5;5;5;7;8;6;7;4;5;9;6;3
97;2;0;1;1;0;7;3;1;5;6;4;5;10;6;10;3;5;1;6;5
98;2;0;0;0;1;9;4;7;6;5;5;7;7;5;4;5;8;8;8;10
99;3;0;0;0;1;9;3;7;7;3;8;8;5;6;4;4;9;8;9;10
100;3;0;1;0;1;8;3;6;6;5;7;8;5;6;2;5;9;8;9;8
101;1;1;1;1;0;6;3;2;4;5;5;5;9;7;5;4;6;1;4;4
102;2;0;0;0;1;8;3;6;5;2;6;7;7;6;2;5;8;8;10;7
103;1;0;1;1;1;7;3;2;4;4;4;5;9;5;10;4;6;2;5;5
104;2;0;1;1;0;5;3;2;5;5;4;4;7;5;5;4;5;1;3;5
105;2;1;1;1;1;4;4;8;7;4;6;9;9;6;8;4;10;9;5;5
106;1;0;0;0;1;2;5;8;6;5;6;8;8;5;7;4;9;9;6;6
107;2;0;1;1;1;7;3;1;5;3;7;6;7;6;9;4;7;2;7;6
108;1;1;1;1;0;6;5;3;4;4;4;4;8;6;4;3;5;1;3;4
109;1;1;0;0;1;9;6;6;7;5;7;6;8;7;3;5;7;8;10;8
110;3;0;0;0;1;8;4;6;6;2;8;6;7;7;3;5;7;9;8;10
111;2;0;1;1;1;3;5;9;7;5;7;9;9;6;7;5;10;8;5;5
112;3;0;0;0;1;8;3;7;7;3;8;7;5;6;2;4;8;9;9;9
113;2;1;0;0;1;1;4;8;6;3;6;9;6;7;7;4;10;9;4;5
114;2;0;0;1;1;4;4;7;7;4;6;9;8;6;8;6;10;8;5;5
115;2;1;1;0;1;1;3;8;6;4;6;8;9;5;7;5;9;9;5;4
116;2;0;0;1;0;8;5;1;6;5;5;5;8;6;9;5;6;2;7;5
117;1;1;0;1;0;8;4;4;5;4;4;1;8;7;5;3;2;4;5;4
118;3;0;1;0;1;9;6;7;6;5;8;8;5;6;2;4;9;8;10;10
119;2;0;0;0;1;8;4;7;5;4;7;8;4;7;3;5;9;10;9;9
120;3;0;1;0;1;9;2;8;7;2;7;6;6;6;3;7;7;10;9;9
121;1;0;0;1;0;5;4;2;5;4;5;3;8;7;6;5;4;2;2;5
122;2;0;1;1;0;7;4;2;6;4;4;3;7;6;5;6;4;1;4;3
123;3;0;0;0;0;9;3;7;6;4;8;5;5;7;5;5;6;10;8;9
124;1;0;0;1;1;8;3;1;6;3;5;6;9;7;10;4;7;3;5;5
125;3;0;0;0;1;8;3;6;6;2;8;7;5;6;2;6;8;8;8;9
126;2;0;1;1;1;7;4;2;4;5;4;5;8;5;10;5;6;2;5;6
127;1;1;1;1;0;7;3;1;5;2;5;2;7;7;4;3;3;1;3;2
128;1;1;1;1;0;6;4;1;5;5;5;1;9;6;5;4;2;1;2;4
129;2;0;1;1;1;7;3;8;6;6;5;7;9;6;4;5;8;9;7;8
130;1;0;0;1;1;2;4;8;4;3;5;9;8;6;8;3;10;8;4;5
131;1;0;0;0;1;8;3;8;4;4;6;8;6;6;5;3;9;7;9;10
132;2;0;0;0;1;8;3;6;5;4;6;5;7;6;3;4;6;8;9;8
133;3;0;1;0;1;9;4;6;7;3;8;6;8;6;3;5;7;8;9;10
134;1;0;1;1;0;7;4;1;6;6;5;5;9;5;9;5;6;1;7;7
135;1;0;1;1;1;5;5;4;5;5;4;6;8;5;7;5;7;4;6;6
136;2;1;1;1;0;7;3;3;6;3;5;3;9;4;6;5;4;1;2;4
137;2;1;0;0;1;8;4;7;5;4;7;6;9;5;3;4;7;8;8;8
138;3;0;1;0;1;9;5;8;7;6;7;7;7;5;3;5;8;9;9;8
139;2;1;0;0;0;1;5;7;7;4;5;10;6;7;7;5;10;9;5;4
140;3;1;0;0;0;7;3;8;7;4;8;7;5;5;4;4;8;10;8;9
141;2;0;1;1;1;2;4;9;6;6;6;8;8;6;8;5;9;8;7;6
142;3;0;0;0;1;9;4;7;6;3;5;7;4;7;4;5;8;10;10;9
143;2;1;0;0;1;3;4;8;8;6;6;9;8;7;7;7;10;9;6;5
144;3;0;0;1;1;9;4;1;6;4;7;5;7;6;10;5;6;1;8;7
145;3;0;0;0;1;7;4;6;6;4;7;8;5;5;3;4;9;8;10;8
146;1;0;1;1;0;6;4;4;4;3;5;3;7;6;6;4;4;1;2;4
147;3;0;0;0;0;8;3;6;7;3;8;8;5;5;5;5;9;9;8;7
148;3;0;0;1;1;8;3;1;6;3;7;6;6;6;10;5;7;2;7;6
149;1;1;1;0;1;6;3;3;4;3;6;3;5;6;4;3;4;1;3;2
150;2;0;0;1;1;8;3;6;6;3;5;7;9;5;3;5;8;9;8;8
151;3;0;0;0;1;8;4;7;6;4;6;5;7;7;2;4;6;9;8;8
152;2;0;0;1;1;3;5;10;8;5;7;9;10;6;9;6;10;9;6;5
153;3;0;0;0;1;7;4;8;6;6;7;4;4;7;3;5;5;7;10;8
154;3;0;0;0;1;9;4;8;4;4;5;6;4;7;2;4;7;8;9;8
155;3;0;0;1;1;9;3;7;7;3;6;8;5;6;3;6;9;9;10;9
156;3;0;0;0;0;8;3;8;6;3;8;7;5;7;4;5;8;7;9;7
157;2;0;1;0;1;9;4;7;5;5;5;7;7;5;3;3;8;8;10;8
158;1;0;0;1;1;9;4;1;5;4;5;5;6;5;9;4;6;3;6;6
159;1;0;1;1;0;7;2;3;5;2;5;2;6;6;5;3;3;2;3;6
160;1;1;1;1;0;6;4;3;4;5;5;3;7;7;6;4;4;1;3;3
161;2;1;1;0;1;2;4;10;7;5;6;9;8;5;8;5;10;10;7;4
162;2;1;0;1;0;1;4;8;6;3;6;9;6;8;7;5;10;9;6;5
163;1;1;1;1;0;8;4;2;4;3;4;4;8;5;5;4;5;1;5;3
164;2;0;1;1;1;6;4;5;5;4;4;6;7;5;9;5;7;2;7;5
165;3;0;0;0;0;8;5;6;6;6;5;4;8;7;4;5;5;9;8;8
166;1;1;0;0;1;7;3;3;4;5;6;2;5;5;6;3;3;2;3;3
167;2;0;1;1;0;8;4;1;7;7;6;5;9;5;8;5;6;2;8;4
168;3;0;0;0;1;9;4;8;5;6;7;8;7;7;5;4;9;9;9;9
169;2;0;1;0;1;8;4;6;6;5;5;7;7;6;4;4;8;9;10;8
170;3;0;0;0;1;9;3;7;5;5;6;5;5;7;3;3;6;9;10;8
171;1;0;0;0;1;7;4;8;5;5;5;7;7;8;4;5;8;10;10;9
172;2;1;0;0;1;9;4;7;6;5;7;6;9;7;5;4;7;8;8;9
173;3;0;0;0;1;8;4;6;8;6;8;6;5;7;4;5;7;6;9;10
174;1;1;1;1;0;7;3;1;4;4;5;3;8;6;5;3;4;1;2;2
175;3;0;0;0;0;9;3;7;5;4;6;6;5;6;3;3;7;7;10;10
176;3;0;0;0;1;8;3;6;5;2;7;8;7;6;2;4;9;8;10;10
177;2;0;0;0;1;8;3;2;4;3;6;5;6;6;4;3;6;1;1;3
178;1;1;0;1;0;5;3;1;4;2;3;4;8;7;6;2;5;1;1;2
179;2;0;0;0;1;8;3;7;7;2;7;8;6;7;4;5;9;7;10;8
180;1;1;1;1;0;7;4;1;5;4;4;4;8;5;5;3;5;1;4;5
181;1;0;1;1;1;7;4;2;3;4;4;6;8;4;9;2;7;2;5;5
182;2;0;0;0;1;8;3;8;7;4;7;7;6;7;3;5;8;8;8;8
183;2;1;0;0;1;9;4;6;5;4;6;8;8;7;4;5;9;8;8;9
184;2;1;0;0;1;1;6;9;7;6;6;9;6;7;8;6;10;10;6;4
185;3;0;0;0;1;9;4;7;4;4;6;6;7;8;5;4;7;9;10;8
186;1;1;0;1;0;6;4;2;3;2;3;3;10;6;3;2;4;1;4;4
187;3;0;1;1;1;7;4;1;5;4;8;5;7;6;9;4;6;1;7;4
188;3;0;1;1;1;9;4;6;8;5;8;7;5;6;5;5;8;8;10;8
189;3;1;1;0;1;8;4;7;5;5;6;8;7;5;5;4;9;7;8;7
190;1;0;0;0;1;8;5;6;5;2;6;8;7;6;4;5;9;7;10;9
191;1;0;1;1;0;8;3;2;5;4;4;5;7;5;10;4;6;2;6;3
192;1;0;0;0;1;8;3;1;3;3;6;2;6;5;4;3;3;1;3;3
193;2;1;0;0;1;1;5;9;5;5;5;7;8;6;7;4;8;9;6;3
194;2;0;1;1;0;7;3;1;5;6;4;5;10;6;10;3;4;1;6;5
195;2;0;0;0;1;9;4;7;6;5;5;7;7;5;4;5;6;8;8;10
196;3;0;0;0;1;9;3;7;7;3;8;8;5;6;4;4;7;8;9;10
197;3;0;1;0;1;8;3;6;6;5;7;8;5;6;2;5;7;8;9;8
198;1;1;1;1;0;6;3;2;4;5;5;5;9;7;5;4;4;1;4;4
199;2;0;0;0;1;8;3;6;5;2;6;7;7;6;2;5;6;8;10;7
200;1;0;1;1;1;7;3;2;4;4;4;5;9;5;10;4;4;2;5;5
201;2;0;1;1;0;5;3;2;5;5;4;4;7;5;5;4;3;1;3;5
202;2;1;1;1;1;4;4;8;7;4;6;9;9;6;8;4;8;9;5;5
203;1;0;0;0;1;2;5;8;6;5;6;8;8;5;7;4;7;9;6;6
204;2;0;1;1;1;7;3;1;5;3;7;6;7;6;9;4;5;4;7;6
205;1;1;1;1;0;6;5;3;4;4;4;4;8;6;4;3;3;6;3;4
206;1;1;0;0;1;9;6;6;7;5;7;6;8;7;3;5;5;8;10;8
207;3;0;0;0;1;8;4;6;6;2;8;6;7;7;3;5;5;9;8;10
208;2;0;1;1;1;3;5;9;7;5;7;9;9;6;7;5;8;8;5;5
209;3;0;0;0;1;8;3;7;7;3;8;7;5;6;2;4;6;9;9;9
210;2;1;0;0;1;1;4;8;6;3;6;9;6;7;7;4;8;9;4;5
211;2;0;0;1;1;4;4;7;7;4;6;9;8;6;8;6;8;8;5;5
212;2;1;1;0;1;1;3;8;6;4;6;8;9;5;7;5;7;9;5;4
213;2;0;0;1;0;8;5;1;6;5;5;4;8;6;9;5;3;6;7;5
214;1;1;0;1;0;8;4;7;5;4;4;4;8;7;5;3;3;7;5;4
215;3;0;1;0;1;9;6;7;6;5;8;8;5;6;2;4;7;8;10;10
216;2;0;0;0;1;8;4;7;5;4;7;8;4;7;3;5;7;10;9;9
217;3;0;1;0;1;9;2;8;7;2;7;6;6;6;3;7;5;10;9;9
218;1;0;0;1;0;5;4;8;5;4;5;3;8;7;6;5;2;7;2;5
219;2;0;1;1;0;7;4;7;6;4;4;8;7;6;5;6;7;7;4;3
220;3;0;0;0;0;9;3;7;6;4;8;5;5;7;5;5;4;10;8;9
221;1;0;0;1;1;8;3;9;6;3;5;6;9;7;10;4;5;8;5;5
222;3;0;0;0;1;8;3;6;6;2;8;7;5;6;2;6;6;8;8;9
223;2;0;1;1;1;7;4;3;4;5;4;5;8;5;10;5;4;5;5;6
224;1;1;1;1;0;7;3;4;5;2;5;2;7;7;4;3;1;1;3;2
225;1;1;1;1;0;6;4;1;5;5;5;1;9;6;5;4;1;1;2;4
226;2;0;1;1;1;7;3;8;6;6;5;7;9;6;4;5;6;9;7;8
227;1;0;0;1;1;2;4;8;4;3;5;9;8;6;8;3;8;8;4;5
228;1;0;0;0;1;8;3;8;4;4;6;8;6;6;5;3;7;7;9;10
229;2;0;0;0;1;8;3;6;5;4;6;5;7;6;3;4;4;8;9;8
230;3;0;1;0;1;9;4;6;7;3;8;6;8;6;3;5;5;8;9;10
231;1;0;1;1;0;7;4;1;6;6;5;5;9;5;9;5;4;1;7;7
232;1;0;1;1;1;5;5;4;5;5;4;6;8;5;7;5;5;4;6;6
233;2;1;1;1;0;7;3;3;6;3;5;3;9;4;6;5;2;1;2;4
234;2;1;0;0;1;8;4;7;5;4;7;6;9;5;3;4;5;8;8;8
235;3;0;1;0;1;9;5;8;7;6;7;7;7;5;3;5;6;9;9;8
236;2;1;0;0;0;1;5;7;7;4;5;10;6;7;7;5;9;9;5;4
237;3;1;0;0;0;10;10;10;10;10;10;10;10;10;10;10;10;10;8;9
238;2;0;1;1;1;2;4;9;6;6;6;8;8;6;8;5;7;8;7;6
239;3;0;0;0;1;9;4;7;6;3;5;7;4;7;4;5;6;10;10;9
240;2;1;0;0;1;3;4;8;8;6;6;9;8;7;7;7;8;9;6;5
241;3;0;0;1;1;9;4;1;6;4;7;5;7;6;10;5;4;1;8;7
242;3;0;0;0;1;7;4;6;6;4;7;8;5;5;3;4;7;8;10;8
243;1;0;1;1;0;6;4;4;4;3;5;3;7;6;6;4;2;1;2;4
244;3;0;0;0;0;8;3;6;7;3;8;8;5;5;5;5;7;9;8;7
245;3;0;0;1;1;8;3;1;6;3;7;6;6;6;10;5;5;2;7;6
246;1;1;1;0;1;6;3;3;4;3;6;3;5;6;4;3;2;1;3;2
247;2;0;0;1;1;8;3;6;6;3;5;7;9;5;3;5;6;9;8;8
248;3;0;0;0;1;8;4;7;6;4;6;5;7;7;2;4;4;9;8;8
249;2;0;0;1;1;3;5;10;8;5;7;9;10;6;9;6;8;9;6;5
250;3;0;0;0;1;7;4;8;6;6;7;4;4;7;3;5;3;7;10;8
251;3;0;0;0;1;9;4;8;4;4;5;6;4;7;2;4;5;8;9;8
252;3;0;0;1;1;9;3;7;7;3;6;8;5;6;3;6;7;9;10;9
253;3;0;0;0;0;8;3;8;6;3;8;7;5;7;4;5;6;7;9;7
254;2;0;1;0;1;9;4;7;5;5;5;7;7;5;3;3;6;8;10;8
255;1;0;0;1;1;9;4;1;5;4;5;5;6;5;9;4;4;3;6;6
256;1;0;1;1;0;7;2;3;5;2;5;2;6;6;5;3;1;2;3;6
257;1;1;1;1;0;6;4;3;4;5;5;3;7;7;6;4;2;1;3;3
258;2;1;1;0;1;2;4;10;7;5;6;9;8;5;8;5;8;10;7;4
259;2;1;0;1;0;1;4;8;6;3;6;9;6;8;7;5;8;9;6;5
260;1;1;1;1;0;8;4;2;4;3;4;4;8;5;5;4;3;1;5;3
261;2;0;1;1;1;6;4;5;5;4;4;6;7;5;9;5;5;2;7;5
262;3;0;0;0;0;8;5;6;6;6;5;4;8;7;4;5;3;9;8;8
263;1;1;0;0;1;7;3;3;4;5;6;2;5;5;6;3;1;2;3;3
264;2;0;1;1;0;8;4;1;7;7;6;5;9;5;8;5;4;2;8;4
265;3;0;0;0;1;9;4;8;5;6;7;8;7;7;5;4;7;9;9;9
266;2;0;1;0;1;8;4;6;6;5;5;7;7;6;4;4;6;9;10;8
267;3;0;0;0;1;9;3;7;5;5;6;5;5;7;3;3;4;9;10;8
268;1;0;0;0;1;7;4;8;5;5;5;7;7;8;4;5;6;10;10;9
269;2;1;0;0;1;9;4;7;6;5;7;6;9;7;5;4;5;8;8;9
270;3;0;0;0;1;8;4;6;8;6;8;6;5;7;4;5;5;6;9;10
271;1;1;1;1;0;7;3;1;4;4;5;3;8;6;5;3;2;1;2;2
272;3;0;0;0;0;7;3;7;5;4;6;6;5;6;3;3;5;7;10;10
273;3;0;0;0;1;8;3;4;5;2;7;8;7;6;3;4;7;8;10;10
274;2;0;0;0;1;8;3;2;4;3;6;5;6;6;4;3;4;1;1;3
275;1;1;0;1;0;5;3;1;4;2;3;4;8;7;6;2;3;1;1;2
276;2;0;0;0;1;8;3;3;7;2;7;8;6;7;4;5;7;7;10;8
277;1;1;1;1;0;7;4;1;5;4;4;4;8;5;5;3;3;1;4;5
278;1;0;1;1;1;7;4;2;3;4;4;6;8;4;9;2;5;2;5;5
279;2;0;0;0;1;8;3;4;7;4;7;7;6;7;5;5;6;8;8;8
280;2;1;0;0;1;6;4;5;5;4;6;8;8;7;5;5;7;8;8;9
281;2;1;0;0;1;1;6;9;7;6;6;9;6;7;8;6;8;10;6;4
282;3;0;0;0;1;6;4;4;4;4;6;6;7;8;6;4;5;9;10;8
283;1;1;0;1;0;6;4;2;3;2;3;3;10;6;3;2;2;1;4;4
284;3;0;1;1;1;7;4;1;5;4;8;5;7;6;9;4;4;1;7;4
285;3;0;1;1;1;7;4;3;8;5;8;7;5;6;7;5;6;8;10;8
286;3;1;1;0;1;7;4;4;5;5;6;8;7;5;5;4;7;7;8;7
287;1;0;0;0;1;10;10;10;10;10;10;10;10;10;10;10;10;10;10;9
288;1;0;1;1;0;8;3;2;5;4;4;5;7;5;10;4;4;2;6;3
289;1;0;0;0;1;8;3;1;3;3;6;2;6;5;4;3;1;1;3;3
290;2;1;0;0;1;1;5;9;5;5;5;7;8;6;7;4;6;9;6;3
291;2;0;1;1;0;7;3;1;5;6;4;5;10;6;10;3;4;1;6;5
